time,open,high,low,close,vol,weekday,day,week,month,year,hour,hour_sin,hour_cos,minute_block,minute_sin,minute_cos,london_session,ny_session,overlap_session,symbol,mean_std_open,mean_std_high,mean_std_low,mean_std_close,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma,atr,returns_5,returns_24,volatility_ratio
2024-05-17 19:20:00+00:00,1.08751,1.0876,1.08747,1.0876,127.0,4,17,20,5,2024,19,-0.965926,0.258819,4,0.866025,-0.5,0,1,0,EURUSD,-0.851063829787222,-0.8699421965317953,-0.844946025515199,-0.8370298939247789,0.333491,1.087613,1.087211,0.85102,0.042344,1.085992,1.086847,-1.377496,3.7e-05,0.000221,0.00012
2024-05-17 19:25:00+00:00,1.08761,1.08762,1.08755,1.0876,117.0,4,17,20,5,2024,19,-0.965926,0.258819,5,0.5,-0.866025,0,1,0,EURUSD,-0.841392649903284,-0.8680154142581813,-0.8370951913640567,-0.8370298939247789,0.333491,1.08764,1.08721,0.85102,0.044831,1.085995,1.086846,-1.377754,0.00023,0.000304,6.4e-05
2024-05-17 19:30:00+00:00,1.08761,1.08761,1.0875,1.08756,194.0,4,17,20,5,2024,19,-0.965926,0.258819,6,0.0,-1.0,0,1,0,EURUSD,-0.841392649903284,-0.8689788053949883,-0.8420019627085225,-0.8408871745419333,0.333491,1.087649,1.08723,0.83092,0.047078,1.085997,1.086846,-1.377496,0.000147,0.00035,0.000101
2024-05-17 19:35:00+00:00,1.08751,1.08757,1.08749,1.08756,125.0,4,17,20,5,2024,19,-0.965926,0.258819,7,-0.5,-0.866025,0,1,0,EURUSD,-0.851063829787222,-0.8728323699421878,-0.8429833169773957,-0.8408871745419333,0.330529,1.087662,1.087237,0.83092,0.049271,1.086,1.086845,-1.378269,0.000101,0.000313,7.4e-05
2024-05-17 19:40:00+00:00,1.08756,1.08757,1.08744,1.08746,196.0,4,17,20,5,2024,19,-0.965926,0.258819,8,-0.866025,-0.5,0,1,0,EURUSD,-0.8462282398452459,-0.8728323699421878,-0.8478900883218614,-0.8505303760848477,0.321644,1.087647,1.08724,0.780519,0.051226,1.086002,1.086844,-1.377754,-3.7e-05,0.000212,0.00012
2024-05-17 19:45:00+00:00,1.08745,1.08747,1.08724,1.08732,535.0,4,17,20,5,2024,19,-0.965926,0.258819,9,-1.0,-0.0,0,1,0,EURUSD,-0.8568665377175932,-0.8824662813102009,-0.8675171736996816,-0.8640308582449308,0.300914,1.08765,1.087233,0.710199,0.052256,1.086004,1.086843,-1.37492,-0.000257,-1.8e-05,0.000212
2024-05-17 19:50:00+00:00,1.08731,1.08733,1.08725,1.08725,199.0,4,17,20,5,2024,19,-0.965926,0.258819,10,-0.866025,0.5,0,1,0,EURUSD,-0.8704061895551121,-0.8959537572254277,-0.86653581943078,-0.8707810993249581,0.27426,1.087655,1.087223,0.675128,0.053283,1.086006,1.086841,-1.376723,-0.000322,-1.8e-05,7.4e-05
2024-05-17 19:55:00+00:00,1.08724,1.08729,1.08705,1.08724,349.0,4,17,20,5,2024,19,-0.965926,0.258819,11,-0.5,0.866025,0,1,0,EURUSD,-0.8771760154738786,-0.899807321772613,-0.8861629048086002,-0.871745419479268,0.238722,1.087664,1.087203,0.670111,0.053396,1.086008,1.08684,-1.37492,-0.000294,-0.00011,0.000221
2024-05-17 20:00:00+00:00,1.08726,1.08727,1.08711,1.08714,262.0,4,17,20,5,2024,20,-0.866025,0.5,0,0.0,1.0,0,1,0,EURUSD,-0.8752417794971024,-0.9017341040462412,-0.8802747791952612,-0.8813886210221682,0.19726,1.087685,1.087166,0.619935,0.053509,1.086009,1.086838,-1.373374,-0.000386,-0.000405,0.000147
2024-05-17 20:05:00+00:00,1.08714,1.08714,1.08707,1.08714,132.0,4,17,20,5,2024,20,-0.866025,0.5,1,0.5,0.866025,0,1,0,EURUSD,-0.8868471953578307,-0.9142581888246468,-0.8842001962708395,-0.8813886210221682,0.152837,1.087702,1.087133,0.619935,0.05344,1.086011,1.086836,-1.374147,-0.000294,-0.000202,6.4e-05
